sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments
87984,healthy,167.09,167.0,19.99,17.14,81.81,142.0,156.0,178.0,191.0,500000
87985,healthy,166.13,167.0,19.36,17.67,81.45,142.0,155.0,177.0,189.0,500000
87986,healthy,167.61,167.0,19.2,15.64,83.31,144.0,157.0,178.0,191.0,500000
87988,healthy,167.74,168.0,20.7,16.91,81.84,142.0,156.0,179.0,192.0,500000
87989,healthy,166.68,167.0,20.19,17.78,81.12,142.0,155.0,178.0,191.0,500000
87990,healthy,167.12,167.0,19.94,16.77,82.17,142.0,156.0,178.0,191.0,500000
87991,healthy,166.26,167.0,20.96,19.09,79.7,141.0,154.0,178.0,191.0,500000
87992,healthy,167.55,168.0,20.62,17.07,81.64,142.0,156.0,179.0,192.0,500000
87993,healthy,163.58,165.0,19.99,22.38,76.85,139.0,151.0,175.0,187.0,500000
87994,healthy,166.21,167.0,20.46,18.62,80.32,141.0,154.0,177.0,190.0,500000
87995,healthy,165.23,166.0,19.49,18.77,80.43,141.0,154.0,176.0,188.0,500000
87996,healthy,168.98,169.0,23.06,17.87,79.99,141.0,156.0,182.0,197.0,500000
87997,healthy,166.48,167.0,19.89,17.69,81.35,142.0,155.0,177.0,190.0,500000
87998,healthy,166.12,167.0,19.89,18.09,80.97,142.0,155.0,177.0,189.0,500000
88000,healthy,165.64,167.0,19.75,18.53,80.69,141.0,154.0,177.0,188.0,500000
88001,healthy,167.43,168.0,21.41,17.82,80.77,141.0,155.0,179.0,193.0,500000
88002,healthy,170.45,170.0,20.55,13.44,84.8,145.0,159.0,181.0,195.0,500000
88005,healthy,168.77,168.0,19.63,14.56,84.08,145.0,158.0,179.0,192.0,500000
88006,healthy,169.25,169.0,20.83,15.17,83.27,144.0,157.0,181.0,195.0,500000
88007,healthy,167.1,167.0,18.45,15.18,83.99,144.0,157.0,177.0,189.0,500000
88008,healthy,166.61,167.0,20.96,18.92,79.77,141.0,154.0,178.0,192.0,500000
88009,healthy,165.92,166.0,21.34,20.08,78.62,140.0,153.0,178.0,191.0,500000
88010,healthy,168.87,169.0,20.92,15.87,82.61,143.0,157.0,180.0,194.0,500000
88011,healthy,166.23,167.0,20.05,18.26,80.76,141.0,155.0,177.0,190.0,500000
88012,healthy,167.53,168.0,19.73,16.29,82.66,143.0,156.0,178.0,191.0,500000
88013,healthy,166.94,167.0,19.27,16.54,82.51,143.0,156.0,177.0,190.0,500000
88014,healthy,165.89,166.0,20.88,19.6,79.18,140.0,153.0,177.0,191.0,500000
88015,healthy,165.22,166.0,21.11,20.69,78.13,140.0,153.0,177.0,190.0,500000
88016,healthy,166.37,167.0,20.9,18.89,79.83,141.0,154.0,178.0,191.0,500000
88017,healthy,168.52,168.0,21.47,16.95,81.53,142.0,156.0,180.0,194.0,500000
88018,healthy,165.93,167.0,21.2,20.08,78.7,140.0,153.0,178.0,191.0,500000
88019,healthy,165.45,166.0,20.9,20.47,78.37,140.0,153.0,177.0,190.0,500000
88020,healthy,164.69,166.0,21.2,21.62,77.26,139.0,152.0,176.0,189.0,500000
88021,healthy,166.94,167.0,20.59,18.09,80.76,141.0,155.0,178.0,192.0,500000
88022,healthy,166.74,167.0,19.4,17.19,81.89,142.0,155.0,177.0,190.0,500000
88023,healthy,169.56,169.0,21.94,15.89,82.06,143.0,157.0,181.0,196.0,500000
88024,healthy,167.38,167.0,20.68,17.35,81.33,142.0,156.0,179.0,192.0,500000
88025,healthy,166.57,167.0,20.93,18.52,80.23,141.0,155.0,178.0,191.0,500000
88026,healthy,166.13,166.0,19.49,17.68,81.35,142.0,155.0,177.0,189.0,500000
88027,healthy,165.61,166.0,19.68,18.55,80.55,141.0,154.0,176.0,189.0,500000
88028,healthy,166.7,167.0,21.82,19.37,79.0,140.0,154.0,178.0,192.0,500000
88029,healthy,167.61,168.0,21.46,17.86,80.59,141.0,155.0,179.0,193.0,500000
