sample_id,group,mean_len,median_len,std_len,pct_short,pct_mid,p10,p25,p75,p90,n_fragments,genome_bin_short_frac_std,genome_bin_short_frac_mean,motif_A_frac,motif_C_frac,motif_G_frac,motif_T_frac
87995,healthy,165.23,166.0,19.51,18.78,80.44,141.0,154.0,176.0,188.0,5000000,0.0174,0.1832,,,,
87996,healthy,168.97,169.0,23.02,17.88,80.0,141.0,156.0,182.0,197.0,5000000,0.0198,0.1738,,,,
87997,healthy,166.45,167.0,19.89,17.76,81.28,142.0,155.0,177.0,190.0,5000000,0.0212,0.1713,,,,
87998,healthy,166.1,167.0,19.88,18.16,80.91,142.0,155.0,177.0,189.0,5000000,0.0197,0.1759,,,,
88000,healthy,165.66,167.0,19.73,18.47,80.74,141.0,154.0,177.0,189.0,5000000,0.0213,0.178,,,,
88001,healthy,167.47,168.0,21.43,17.82,80.74,141.0,155.0,179.0,193.0,5000000,0.0195,0.1728,,,,
88002,healthy,170.47,170.0,20.55,13.44,84.81,145.0,159.0,181.0,195.0,5000000,0.0086,0.1339,,,,
88005,healthy,168.77,168.0,19.6,14.57,84.1,145.0,158.0,179.0,192.0,5000000,0.0092,0.1453,,,,
88006,healthy,169.23,169.0,20.84,15.24,83.19,144.0,157.0,181.0,195.0,5000000,0.0194,0.1474,,,,
88007,healthy,167.12,167.0,18.47,15.18,84.01,144.0,157.0,177.0,189.0,5000000,0.0179,0.1474,,,,
88008,healthy,166.59,167.0,20.95,18.92,79.78,141.0,154.0,178.0,192.0,5000000,0.0188,0.1847,,,,
88009,healthy,165.94,166.0,21.38,20.12,78.55,140.0,153.0,178.0,191.0,5000000,0.0191,0.1966,,,,
88010,healthy,168.91,169.0,20.91,15.81,82.67,143.0,157.0,180.0,194.0,5000000,0.0168,0.1542,,,,
88011,healthy,166.23,167.0,20.09,18.33,80.69,141.0,155.0,177.0,190.0,5000000,0.02,0.1785,,,,
88012,healthy,167.5,168.0,19.69,16.28,82.69,143.0,156.0,178.0,191.0,5000000,0.017,0.1583,,,,
88013,healthy,166.96,167.0,19.28,16.53,82.52,143.0,156.0,177.0,190.0,5000000,0.0172,0.1607,,,,
88014,healthy,165.88,166.0,20.88,19.59,79.18,141.0,153.0,177.0,191.0,5000000,0.0195,0.191,,,,
88015,healthy,165.18,166.0,21.11,20.76,78.07,140.0,153.0,177.0,190.0,5000000,0.0205,0.202,,,,
88016,healthy,166.38,167.0,20.9,18.85,79.87,141.0,154.0,178.0,191.0,5000000,0.0192,0.1835,,,,
88017,healthy,168.51,168.0,21.44,16.9,81.58,142.0,156.0,180.0,194.0,5000000,0.0188,0.1635,,,,
88018,healthy,165.96,167.0,21.24,20.02,78.76,140.0,153.0,178.0,191.0,5000000,0.0193,0.1947,,,,
88019,healthy,165.45,166.0,20.9,20.43,78.41,140.0,153.0,177.0,190.0,5000000,0.0192,0.199,,,,
88020,healthy,164.68,166.0,21.18,21.68,77.22,139.0,152.0,176.0,189.0,5000000,0.0194,0.2116,,,,
88021,healthy,166.96,167.0,20.58,18.11,80.74,141.0,155.0,178.0,192.0,5000000,0.0187,0.1756,,,,
88022,healthy,166.8,167.0,19.45,17.2,81.85,142.0,155.0,178.0,190.0,5000000,0.0093,0.1713,,,,
88023,healthy,169.58,169.0,21.92,15.87,82.08,143.0,157.0,181.0,196.0,5000000,0.0182,0.1537,,,,
88024,healthy,167.34,167.0,20.68,17.42,81.27,142.0,155.0,178.0,192.0,5000000,0.0213,0.1685,,,,
88025,healthy,166.56,167.0,20.9,18.53,80.23,141.0,155.0,178.0,191.0,5000000,0.0203,0.1802,,,,
88026,healthy,166.14,166.0,19.48,17.67,81.38,142.0,155.0,177.0,189.0,5000000,0.0204,0.1717,,,,
88027,healthy,165.6,166.0,19.67,18.56,80.55,141.0,154.0,176.0,189.0,5000000,0.0206,0.1805,,,,
88028,healthy,166.73,167.0,21.83,19.34,79.04,140.0,154.0,178.0,192.0,5000000,0.0185,0.189,,,,
88029,healthy,167.58,168.0,21.43,17.9,80.56,141.0,155.0,179.0,193.0,5000000,0.0196,0.1741,,,,
88030,healthy,168.74,169.0,21.1,16.08,82.41,143.0,157.0,180.0,194.0,5000000,0.0178,0.1554,,,,
88031,healthy,165.33,166.0,18.54,17.76,81.63,142.0,155.0,176.0,187.0,5000000,0.0183,0.1729,,,,
88032,healthy,165.84,166.0,20.84,19.79,79.09,140.0,153.0,177.0,190.0,5000000,0.0177,0.1942,,,,
88033,healthy,169.27,169.0,20.94,15.3,83.09,144.0,157.0,181.0,195.0,5000000,0.0181,0.1484,,,,
88034,healthy,165.74,167.0,20.66,19.43,79.64,140.0,154.0,177.0,190.0,5000000,0.0199,0.1887,,,,
88035,healthy,167.91,168.0,20.74,16.86,81.79,142.0,156.0,179.0,193.0,5000000,0.018,0.1634,,,,
88036,healthy,167.28,168.0,20.25,17.14,81.81,142.0,156.0,179.0,191.0,5000000,0.0195,0.1659,,,,
88037,healthy,166.55,167.0,20.74,18.56,80.35,141.0,155.0,178.0,191.0,5000000,0.0184,0.1815,,,,
88038,healthy,166.42,167.0,19.63,17.52,81.59,142.0,155.0,177.0,189.0,5000000,0.019,0.1695,,,,
88039,healthy,166.07,167.0,18.98,17.18,82.16,142.0,156.0,177.0,188.0,5000000,0.018,0.1667,,,,
88040,healthy,167.26,168.0,19.92,16.83,82.12,142.0,156.0,178.0,191.0,5000000,0.019,0.164,,,,
88041,healthy,169.11,169.0,20.94,15.53,82.92,143.0,157.0,180.0,195.0,5000000,0.0187,0.1503,,,,
88042,healthy,165.9,167.0,18.96,17.49,81.84,142.0,155.0,177.0,188.0,5000000,0.0196,0.1699,,,,
88043,healthy,168.0,168.0,19.95,16.06,82.74,143.0,157.0,179.0,192.0,5000000,0.0187,0.1562,,,,
88044,healthy,169.24,169.0,20.89,15.51,82.96,143.0,157.0,181.0,195.0,5000000,0.0186,0.15,,,,
88045,healthy,166.85,167.0,19.11,16.31,82.82,143.0,156.0,177.0,190.0,5000000,0.0179,0.1579,,,,
88047,healthy,169.32,169.0,19.6,13.8,84.97,145.0,158.0,180.0,193.0,5000000,0.0162,0.1336,,,,
88048,healthy,164.24,165.0,19.55,20.51,78.76,140.0,153.0,175.0,187.0,5000000,0.0188,0.1999,,,,
88049,healthy,168.67,169.0,19.86,14.9,83.87,144.0,158.0,179.0,192.0,5000000,0.0186,0.1442,,,,
86229,lung_cancer,142.39,152.0,54.72,47.97,47.63,62.0,108.0,171.0,190.0,5000000,0.0146,0.4777,,,,
86230,lung_cancer,122.3,128.0,52.91,65.85,31.56,52.0,77.0,160.0,176.0,5000000,0.0128,0.6549,,,,
86233,lung_cancer,120.27,123.0,51.79,66.84,31.19,53.0,75.0,160.0,177.0,5000000,0.0096,0.6656,,,,
86245,lung_cancer,141.64,154.0,47.06,44.89,53.13,65.0,115.0,170.0,184.0,5000000,0.0169,0.4438,,,,
86251,lung_cancer,141.36,148.0,59.34,51.15,43.03,62.0,97.0,171.0,195.0,5000000,0.0112,0.5085,,,,
86254,lung_cancer,115.71,113.0,52.95,70.99,26.73,52.0,70.0,155.0,175.0,5000000,0.013,0.708,,,,
86264,lung_cancer,136.93,146.0,58.74,52.97,42.73,57.0,91.0,170.0,190.0,5000000,0.0121,0.5271,,,,
